cohortDefinitionId,ruleSequence,personCount,gainCount,personTotal,modeId
211100000,5,0,0,0,0
211100000,2,0,0,0,0
211100000,6,0,0,0,0
211100000,3,0,0,0,0
211100000,4,0,0,0,0
211100000,1,0,0,0,0
211100000,0,0,0,0,0
211100000,5,0,0,0,1
211100000,2,0,0,0,1
211100000,6,0,0,0,1
211100000,3,0,0,0,1
211100000,4,0,0,0,1
211100000,1,0,0,0,1
211100000,0,0,0,0,1
211110000,2,0,0,0,0
211110000,1,0,0,0,0
211110000,6,0,0,0,0
211110000,3,0,0,0,0
211110000,4,0,0,0,0
211110000,0,0,0,0,0
211110000,7,0,0,0,0
211110000,5,0,0,0,0
211110000,2,0,0,0,1
211110000,1,0,0,0,1
211110000,6,0,0,0,1
211110000,3,0,0,0,1
211110000,4,0,0,0,1
211110000,0,0,0,0,1
211110000,7,0,0,0,1
211110000,5,0,0,0,1
211120000,2,0,0,0,0
211120000,1,0,0,0,0
211120000,6,0,0,0,0
211120000,3,0,0,0,0
211120000,4,0,0,0,0
211120000,0,0,0,0,0
211120000,7,0,0,0,0
211120000,5,0,0,0,0
211120000,2,0,0,0,1
211120000,1,0,0,0,1
211120000,6,0,0,0,1
211120000,3,0,0,0,1
211120000,4,0,0,0,1
211120000,0,0,0,0,1
211120000,7,0,0,0,1
211120000,5,0,0,0,1
211130000,2,0,0,0,0
211130000,1,0,0,0,0
211130000,6,0,0,0,0
211130000,3,0,0,0,0
211130000,4,0,0,0,0
211130000,0,0,0,0,0
211130000,7,0,0,0,0
211130000,5,0,0,0,0
211130000,2,0,0,0,1
211130000,1,0,0,0,1
211130000,6,0,0,0,1
211130000,3,0,0,0,1
211130000,4,0,0,0,1
211130000,0,0,0,0,1
211130000,7,0,0,0,1
211130000,5,0,0,0,1
211100010,2,0,0,0,0
211100010,1,0,0,0,0
211100010,6,0,0,0,0
211100010,3,0,0,0,0
211100010,4,0,0,0,0
211100010,0,0,0,0,0
211100010,7,0,0,0,0
211100010,5,0,0,0,0
211100010,2,0,0,0,1
211100010,1,0,0,0,1
211100010,6,0,0,0,1
211100010,3,0,0,0,1
211100010,4,0,0,0,1
211100010,0,0,0,0,1
211100010,7,0,0,0,1
211100010,5,0,0,0,1
211100020,2,0,0,0,0
211100020,1,0,0,0,0
211100020,6,0,0,0,0
211100020,3,0,0,0,0
211100020,4,0,0,0,0
211100020,0,0,0,0,0
211100020,7,0,0,0,0
211100020,5,0,0,0,0
211100020,2,0,0,0,1
211100020,1,0,0,0,1
211100020,6,0,0,0,1
211100020,3,0,0,0,1
211100020,4,0,0,0,1
211100020,0,0,0,0,1
211100020,7,0,0,0,1
211100020,5,0,0,0,1
211101000,2,0,0,0,0
211101000,1,0,0,0,0
211101000,6,0,0,0,0
211101000,3,0,0,0,0
211101000,4,0,0,0,0
211101000,0,0,0,0,0
211101000,7,0,0,0,0
211101000,5,0,0,0,0
211101000,2,0,0,0,1
211101000,1,0,0,0,1
211101000,6,0,0,0,1
211101000,3,0,0,0,1
211101000,4,0,0,0,1
211101000,0,0,0,0,1
211101000,7,0,0,0,1
211101000,5,0,0,0,1
211102000,2,0,0,0,0
211102000,1,0,0,0,0
211102000,6,0,0,0,0
211102000,3,0,0,0,0
211102000,4,0,0,0,0
211102000,0,0,0,0,0
211102000,7,0,0,0,0
211102000,5,0,0,0,0
211102000,2,0,0,0,1
211102000,1,0,0,0,1
211102000,6,0,0,0,1
211102000,3,0,0,0,1
211102000,4,0,0,0,1
211102000,0,0,0,0,1
211102000,7,0,0,0,1
211102000,5,0,0,0,1
211100100,2,0,0,0,0
211100100,1,0,0,0,0
211100100,6,0,0,0,0
211100100,3,0,0,0,0
211100100,4,0,0,0,0
211100100,0,0,0,0,0
211100100,7,0,0,0,0
211100100,5,0,0,0,0
211100100,2,0,0,0,1
211100100,1,0,0,0,1
211100100,6,0,0,0,1
211100100,3,0,0,0,1
211100100,4,0,0,0,1
211100100,0,0,0,0,1
211100100,7,0,0,0,1
211100100,5,0,0,0,1
211100001,2,0,0,0,0
211100001,1,0,0,0,0
211100001,6,0,0,0,0
211100001,3,0,0,0,0
211100001,4,0,0,0,0
211100001,0,0,0,0,0
211100001,7,0,0,0,0
211100001,5,0,0,0,0
211100001,2,0,0,0,1
211100001,1,0,0,0,1
211100001,6,0,0,0,1
211100001,3,0,0,0,1
211100001,4,0,0,0,1
211100001,0,0,0,0,1
211100001,7,0,0,0,1
211100001,5,0,0,0,1
211100002,2,0,0,0,0
211100002,1,0,0,0,0
211100002,6,0,0,0,0
211100002,3,0,0,0,0
211100002,4,0,0,0,0
211100002,0,0,0,0,0
211100002,7,0,0,0,0
211100002,5,0,0,0,0
211100002,2,0,0,0,1
211100002,1,0,0,0,1
211100002,6,0,0,0,1
211100002,3,0,0,0,1
211100002,4,0,0,0,1
211100002,0,0,0,0,1
211100002,7,0,0,0,1
211100002,5,0,0,0,1
212100000,5,0,0,0,0
212100000,2,0,0,0,0
212100000,6,0,0,0,0
212100000,3,0,0,0,0
212100000,4,0,0,0,0
212100000,1,0,0,0,0
212100000,0,0,0,0,0
212100000,5,0,0,0,1
212100000,2,0,0,0,1
212100000,6,0,0,0,1
212100000,3,0,0,0,1
212100000,4,0,0,0,1
212100000,1,0,0,0,1
212100000,0,0,0,0,1
212110000,2,0,0,0,0
212110000,1,0,0,0,0
212110000,6,0,0,0,0
212110000,3,0,0,0,0
212110000,4,0,0,0,0
212110000,0,0,0,0,0
212110000,7,0,0,0,0
212110000,5,0,0,0,0
212110000,2,0,0,0,1
212110000,1,0,0,0,1
212110000,6,0,0,0,1
212110000,3,0,0,0,1
212110000,4,0,0,0,1
212110000,0,0,0,0,1
212110000,7,0,0,0,1
212110000,5,0,0,0,1
212120000,2,0,0,0,0
212120000,1,0,0,0,0
212120000,6,0,0,0,0
212120000,3,0,0,0,0
212120000,4,0,0,0,0
212120000,0,0,0,0,0
212120000,7,0,0,0,0
212120000,5,0,0,0,0
212120000,2,0,0,0,1
212120000,1,0,0,0,1
212120000,6,0,0,0,1
212120000,3,0,0,0,1
212120000,4,0,0,0,1
212120000,0,0,0,0,1
212120000,7,0,0,0,1
212120000,5,0,0,0,1
212130000,2,0,0,0,0
212130000,1,0,0,0,0
212130000,6,0,0,0,0
212130000,3,0,0,0,0
212130000,4,0,0,0,0
212130000,0,0,0,0,0
212130000,7,0,0,0,0
212130000,5,0,0,0,0
212130000,2,0,0,0,1
212130000,1,0,0,0,1
212130000,6,0,0,0,1
212130000,3,0,0,0,1
212130000,4,0,0,0,1
212130000,0,0,0,0,1
212130000,7,0,0,0,1
212130000,5,0,0,0,1
212100010,2,0,0,0,0
212100010,1,0,0,0,0
212100010,6,0,0,0,0
212100010,3,0,0,0,0
212100010,4,0,0,0,0
212100010,0,0,0,0,0
212100010,7,0,0,0,0
212100010,5,0,0,0,0
212100010,2,0,0,0,1
212100010,1,0,0,0,1
212100010,6,0,0,0,1
212100010,3,0,0,0,1
212100010,4,0,0,0,1
212100010,0,0,0,0,1
212100010,7,0,0,0,1
212100010,5,0,0,0,1
212100020,2,0,0,0,0
212100020,1,0,0,0,0
212100020,6,0,0,0,0
212100020,3,0,0,0,0
212100020,4,0,0,0,0
212100020,0,0,0,0,0
212100020,7,0,0,0,0
212100020,5,0,0,0,0
212100020,2,0,0,0,1
212100020,1,0,0,0,1
212100020,6,0,0,0,1
212100020,3,0,0,0,1
212100020,4,0,0,0,1
212100020,0,0,0,0,1
212100020,7,0,0,0,1
212100020,5,0,0,0,1
212101000,2,0,0,0,0
212101000,1,0,0,0,0
212101000,6,0,0,0,0
212101000,3,0,0,0,0
212101000,4,0,0,0,0
212101000,0,0,0,0,0
212101000,7,0,0,0,0
212101000,5,0,0,0,0
212101000,2,0,0,0,1
212101000,1,0,0,0,1
212101000,6,0,0,0,1
212101000,3,0,0,0,1
212101000,4,0,0,0,1
212101000,0,0,0,0,1
212101000,7,0,0,0,1
212101000,5,0,0,0,1
212102000,2,0,0,0,0
212102000,1,0,0,0,0
212102000,6,0,0,0,0
212102000,3,0,0,0,0
212102000,4,0,0,0,0
212102000,0,0,0,0,0
212102000,7,0,0,0,0
212102000,5,0,0,0,0
212102000,2,0,0,0,1
212102000,1,0,0,0,1
212102000,6,0,0,0,1
212102000,3,0,0,0,1
212102000,4,0,0,0,1
212102000,0,0,0,0,1
212102000,7,0,0,0,1
212102000,5,0,0,0,1
212100100,2,0,0,0,0
212100100,1,0,0,0,0
212100100,6,0,0,0,0
212100100,3,0,0,0,0
212100100,4,0,0,0,0
212100100,0,0,0,0,0
212100100,7,0,0,0,0
212100100,5,0,0,0,0
212100100,2,0,0,0,1
212100100,1,0,0,0,1
212100100,6,0,0,0,1
212100100,3,0,0,0,1
212100100,4,0,0,0,1
212100100,0,0,0,0,1
212100100,7,0,0,0,1
212100100,5,0,0,0,1
212100001,2,0,0,0,0
212100001,1,0,0,0,0
212100001,6,0,0,0,0
212100001,3,0,0,0,0
212100001,4,0,0,0,0
212100001,0,0,0,0,0
212100001,7,0,0,0,0
212100001,5,0,0,0,0
212100001,2,0,0,0,1
212100001,1,0,0,0,1
212100001,6,0,0,0,1
212100001,3,0,0,0,1
212100001,4,0,0,0,1
212100001,0,0,0,0,1
212100001,7,0,0,0,1
212100001,5,0,0,0,1
212100002,2,0,0,0,0
212100002,1,0,0,0,0
212100002,6,0,0,0,0
212100002,3,0,0,0,0
212100002,4,0,0,0,0
212100002,0,0,0,0,0
212100002,7,0,0,0,0
212100002,5,0,0,0,0
212100002,2,0,0,0,1
212100002,1,0,0,0,1
212100002,6,0,0,0,1
212100002,3,0,0,0,1
212100002,4,0,0,0,1
212100002,0,0,0,0,1
212100002,7,0,0,0,1
212100002,5,0,0,0,1
211200000,5,0,0,0,0
211200000,2,0,0,0,0
211200000,6,0,0,0,0
211200000,3,0,0,0,0
211200000,4,0,0,0,0
211200000,1,0,0,0,0
211200000,0,0,0,0,0
211200000,5,0,0,0,1
211200000,2,0,0,0,1
211200000,6,0,0,0,1
211200000,3,0,0,0,1
211200000,4,0,0,0,1
211200000,1,0,0,0,1
211200000,0,0,0,0,1
211210000,2,0,0,0,0
211210000,1,0,0,0,0
211210000,6,0,0,0,0
211210000,3,0,0,0,0
211210000,4,0,0,0,0
211210000,0,0,0,0,0
211210000,7,0,0,0,0
211210000,5,0,0,0,0
211210000,2,0,0,0,1
211210000,1,0,0,0,1
211210000,6,0,0,0,1
211210000,3,0,0,0,1
211210000,4,0,0,0,1
211210000,0,0,0,0,1
211210000,7,0,0,0,1
211210000,5,0,0,0,1
211220000,2,0,0,0,0
211220000,1,0,0,0,0
211220000,6,0,0,0,0
