cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
1021300,10,20,30,40,ot2,with,older,any,any,0,1021300,92,2,1,3,0,0,,1,0
1021301,10,20,30,40,ot2,with,older,any,with,0,1021301,93,2,1,3,0,1,,1,0
1021310,10,20,30,40,ot2,with,older,female,any,0,1021310,94,2,1,3,1,0,,1,1
1021320,10,20,30,40,ot2,with,older,male,any,0,1021320,94,2,1,3,2,0,,1,1
1021311,10,20,30,40,ot2,with,older,female,with,0,1021311,95,2,1,3,1,1,,1,1
1021321,10,20,30,40,ot2,with,older,male,with,0,1021321,95,2,1,3,2,1,,1,1
2010000,20,10,30,40,ot1,no,any,any,any,0,2010000,80,1,0,0,0,0,,0,0
2010001,20,10,30,40,ot1,no,any,any,with,0,2010001,81,1,0,0,0,1,,0,0
2010010,20,10,30,40,ot1,no,any,female,any,0,2010010,82,1,0,0,1,0,,0,1
2010020,20,10,30,40,ot1,no,any,male,any,0,2010020,82,1,0,0,2,0,,0,1
2010011,20,10,30,40,ot1,no,any,female,with,0,2010011,83,1,0,0,1,1,,0,1
2010021,20,10,30,40,ot1,no,any,male,with,0,2010021,83,1,0,0,2,1,,0,1
2010100,20,10,30,40,ot1,no,younger,any,any,0,2010100,84,1,0,1,0,0,,1,0
2010101,20,10,30,40,ot1,no,younger,any,with,0,2010101,85,1,0,1,0,1,,1,0
2010110,20,10,30,40,ot1,no,younger,female,any,0,2010110,86,1,0,1,1,0,,1,1
2010120,20,10,30,40,ot1,no,younger,male,any,0,2010120,86,1,0,1,2,0,,1,1
2010111,20,10,30,40,ot1,no,younger,female,with,0,2010111,87,1,0,1,1,1,,1,1
2010121,20,10,30,40,ot1,no,younger,male,with,0,2010121,87,1,0,1,2,1,,1,1
2010300,20,10,30,40,ot1,no,older,any,any,0,2010300,84,1,0,3,0,0,,1,0
2010301,20,10,30,40,ot1,no,older,any,with,0,2010301,85,1,0,3,0,1,,1,0
2010310,20,10,30,40,ot1,no,older,female,any,0,2010310,86,1,0,3,1,0,,1,1
2010320,20,10,30,40,ot1,no,older,male,any,0,2010320,86,1,0,3,2,0,,1,1
2010311,20,10,30,40,ot1,no,older,female,with,0,2010311,87,1,0,3,1,1,,1,1
2010321,20,10,30,40,ot1,no,older,male,with,0,2010321,87,1,0,3,2,1,,1,1
2020000,20,10,30,40,ot2,no,any,any,any,0,2020000,#NUM!,2,0,0,0,0,,0,0
2020001,20,10,30,40,ot2,no,any,any,with,0,2020001,#NUM!,2,0,0,0,1,,0,0
2020010,20,10,30,40,ot2,no,any,female,any,0,2020010,#NUM!,2,0,0,1,0,,0,1
2020020,20,10,30,40,ot2,no,any,male,any,0,2020020,#NUM!,2,0,0,2,0,,0,1
2020011,20,10,30,40,ot2,no,any,female,with,0,2020011,#NUM!,2,0,0,1,1,,0,1
2020021,20,10,30,40,ot2,no,any,male,with,0,2020021,#NUM!,2,0,0,2,1,,0,1
2020100,20,10,30,40,ot2,no,younger,any,any,0,2020100,#NUM!,2,0,1,0,0,,1,0
2020101,20,10,30,40,ot2,no,younger,any,with,0,2020101,#NUM!,2,0,1,0,1,,1,0
2020110,20,10,30,40,ot2,no,younger,female,any,0,2020110,#NUM!,2,0,1,1,0,,1,1
2020120,20,10,30,40,ot2,no,younger,male,any,0,2020120,#NUM!,2,0,1,2,0,,1,1
2020111,20,10,30,40,ot2,no,younger,female,with,0,2020111,#NUM!,2,0,1,1,1,,1,1
2020121,20,10,30,40,ot2,no,younger,male,with,0,2020121,#NUM!,2,0,1,2,1,,1,1
2020300,20,10,30,40,ot2,no,older,any,any,0,2020300,#NUM!,2,0,3,0,0,,1,0
2020301,20,10,30,40,ot2,no,older,any,with,0,2020301,#NUM!,2,0,3,0,1,,1,0
2020310,20,10,30,40,ot2,no,older,female,any,0,2020310,#NUM!,2,0,3,1,0,,1,1
2020320,20,10,30,40,ot2,no,older,male,any,0,2020320,#NUM!,2,0,3,2,0,,1,1
2020311,20,10,30,40,ot2,no,older,female,with,0,2020311,#NUM!,2,0,3,1,1,,1,1
2020321,20,10,30,40,ot2,no,older,male,with,0,2020321,#NUM!,2,0,3,2,1,,1,1
2011000,20,10,30,40,ot1,with,any,any,any,0,2011000,88,1,1,0,0,0,,0,0
2011001,20,10,30,40,ot1,with,any,any,with,0,2011001,89,1,1,0,0,1,,0,0
2011010,20,10,30,40,ot1,with,any,female,any,0,2011010,90,1,1,0,1,0,,0,1
2011020,20,10,30,40,ot1,with,any,male,any,0,2011020,90,1,1,0,2,0,,0,1
2011011,20,10,30,40,ot1,with,any,female,with,0,2011011,91,1,1,0,1,1,,0,1
2011021,20,10,30,40,ot1,with,any,male,with,0,2011021,91,1,1,0,2,1,,0,1
2011100,20,10,30,40,ot1,with,younger,any,any,0,2011100,92,1,1,1,0,0,,1,0
2011101,20,10,30,40,ot1,with,younger,any,with,0,2011101,93,1,1,1,0,1,,1,0
2011110,20,10,30,40,ot1,with,younger,female,any,0,2011110,94,1,1,1,1,0,,1,1
2011120,20,10,30,40,ot1,with,younger,male,any,0,2011120,94,1,1,1,2,0,,1,1
2011111,20,10,30,40,ot1,with,younger,female,with,0,2011111,95,1,1,1,1,1,,1,1
2011121,20,10,30,40,ot1,with,younger,male,with,0,2011121,95,1,1,1,2,1,,1,1
2011300,20,10,30,40,ot1,with,older,any,any,0,2011300,92,1,1,3,0,0,,1,0
2011301,20,10,30,40,ot1,with,older,any,with,0,2011301,93,1,1,3,0,1,,1,0
2011310,20,10,30,40,ot1,with,older,female,any,0,2011310,94,1,1,3,1,0,,1,1
2011320,20,10,30,40,ot1,with,older,male,any,0,2011320,94,1,1,3,2,0,,1,1
2011311,20,10,30,40,ot1,with,older,female,with,0,2011311,95,1,1,3,1,1,,1,1
2011321,20,10,30,40,ot1,with,older,male,with,0,2011321,95,1,1,3,2,1,,1,1
2021000,20,10,30,40,ot2,with,any,any,any,0,2021000,#NUM!,2,1,0,0,0,,0,0
2021001,20,10,30,40,ot2,with,any,any,with,0,2021001,#NUM!,2,1,0,0,1,,0,0
